Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.23,6352,24284,3.82,15473,64.2%,28.6%,15.0%,26.5%,29.9%,71.4%,2.0%,45.8%,79.0%,23.9%,4.8%,308,25,14.4%,913,378,8.0%,507,287,280,856,24.5%,-18,0,0
ATL,4.25,6140,23536,3.83,14798,63.2%,25.1%,19.2%,27.6%,28.1%,74.9%,1.5%,47.3%,74.3%,32.5%,4.9%,298,34,14.4%,882,378,8.8%,541,297,334,1041,24.1%,-7,0,0
BAL,4.60,6156,23393,3.80,14934,64.2%,27.0%,15.7%,26.7%,30.6%,73.0%,1.5%,46.9%,78.5%,26.4%,4.4%,273,40,13.8%,852,358,7.6%,465,284,247,877,22.0%,-12,0,0
BOS,5.27,6394,25668,4.01,16079,63.1%,31.2%,15.2%,26.1%,27.5%,68.8%,1.9%,43.4%,77.9%,20.4%,5.2%,331,22,14.9%,955,346,10.2%,649,366,324,984,24.8%,-12,0,0
CHC,3.72,6095,23447,3.85,15076,64.5%,28.1%,16.2%,27.0%,28.8%,71.9%,1.1%,46.4%,77.5%,26.2%,4.6%,282,17,14.0%,855,341,8.4%,513,287,279,946,22.7%,-16,0,0
CHW,3.69,6088,22848,3.75,14678,64.5%,26.5%,16.1%,27.2%,30.1%,73.5%,0.9%,47.4%,78.0%,26.8%,4.1%,248,30,13.3%,811,359,7.8%,475,291,264,943,21.9%,-11,0,0
CIN,4.31,6309,23955,3.80,15014,63.3%,25.0%,17.7%,28.1%,29.2%,75.0%,2.5%,47.5%,76.4%,32.6%,5.2%,328,29,14.1%,888,353,8.7%,551,292,265,976,21.3%,-16,0,0
CLE,4.60,6176,24409,3.95,15192,62.4%,29.7%,15.7%,26.6%,28.1%,70.3%,0.7%,43.9%,77.7%,23.8%,4.4%,272,22,14.1%,871,360,9.5%,587,333,314,969,24.5%,-11,0,0
COL,4.36,6159,22911,3.72,14920,65.4%,25.3%,16.3%,28.3%,30.1%,74.7%,1.2%,48.9%,78.1%,30.6%,4.2%,259,27,13.3%,822,364,7.5%,460,280,263,931,21.8%,-7,0,0
DET,4.91,6392,24040,3.76,15176,63.5%,26.2%,15.0%,27.6%,31.2%,73.8%,1.7%,46.9%,79.7%,28.2%,5.1%,323,29,14.0%,897,374,8.1%,517,287,231,842,21.5%,-4,0,0
HOU,3.77,6051,23074,3.81,14929,64.9%,27.0%,19.8%,26.4%,26.8%,73.0%,0.7%,47.4%,72.9%,29.6%,3.9%,237,14,12.6%,761,308,7.3%,441,236,393,1138,25.6%,-31,0,0
KCR,4.00,6110,23014,3.77,14885,65.0%,28.0%,13.9%,27.3%,30.8%,72.0%,1.6%,46.8%,80.7%,23.7%,4.5%,278,16,13.9%,850,323,7.5%,456,225,226,821,21.6%,-17,0,0
LAA,4.52,6269,23879,3.81,15127,63.8%,27.0%,16.7%,26.7%,29.5%,73.0%,1.7%,46.5%,77.1%,26.4%,5.0%,316,20,13.6%,855,323,8.5%,534,313,274,947,22.4%,-9,0,0
LAD,4.01,6155,23444,3.81,14933,64.1%,26.7%,15.7%,27.7%,29.9%,73.3%,1.9%,47.0%,78.5%,27.7%,4.7%,292,24,14.0%,861,319,8.2%,506,274,245,893,21.4%,-10,0,0
MIA,3.17,6032,22821,3.78,14746,64.9%,26.3%,16.6%,27.9%,29.2%,73.7%,1.4%,47.8%,77.5%,27.4%,4.1%,247,6,12.8%,772,330,7.2%,435,240,271,954,22.0%,-11,0,0
MIL,3.95,6085,22583,3.71,14744,65.5%,25.7%,16.1%,28.3%,29.9%,74.3%,1.0%,48.7%,78.3%,31.3%,3.9%,240,22,12.7%,770,337,7.5%,458,244,262,918,22.1%,-21,0,0
MIN,3.79,6225,25025,4.02,15823,63.4%,30.5%,16.6%,26.3%,26.5%,69.5%,0.7%,44.0%,76.0%,20.9%,4.4%,276,28,13.8%,856,323,9.0%,561,308,379,1051,26.5%,-13,0,0
NYM,3.82,6222,24331,3.91,15422,63.8%,27.8%,16.9%,27.6%,27.6%,72.2%,1.6%,46.0%,76.5%,28.7%,4.8%,299,14,13.4%,836,327,8.0%,496,296,360,1016,26.0%,-15,0,0
NYY,4.01,6056,23071,3.81,14688,64.0%,27.2%,15.5%,28.0%,29.3%,72.8%,1.4%,46.6%,78.7%,27.6%,4.6%,278,24,13.9%,844,348,8.0%,486,295,298,916,24.5%,-11,0,0
OAK,4.73,6217,24500,3.94,15217,62.4%,28.4%,15.2%,27.3%,29.0%,71.6%,1.1%,44.6%,78.7%,24.4%,4.6%,289,10,15.1%,939,356,8.9%,553,310,280,898,23.8%,-8,0,0
PHI,3.77,6024,22790,3.78,14593,64.5%,27.6%,16.1%,26.6%,29.7%,72.4%,1.8%,46.7%,77.7%,27.7%,4.3%,260,19,13.1%,789,358,7.5%,451,285,276,923,22.9%,-10,0,0
PIT,3.91,6144,23718,3.86,15149,64.3%,27.5%,17.6%,26.9%,28.0%,72.5%,1.7%,46.6%,75.8%,26.7%,4.8%,292,29,13.9%,857,344,8.2%,503,285,298,1029,22.4%,-9,0,0
SDP,3.81,6135,23372,3.81,14913,64.1%,25.7%,18.0%,27.4%,28.8%,74.3%,1.4%,47.6%,75.7%,31.4%,4.3%,262,14,12.9%,793,331,8.0%,490,283,294,1007,22.5%,-13,0,0
SEA,3.85,6180,24136,3.91,15220,63.3%,28.4%,17.5%,26.2%,28.0%,71.6%,0.9%,45.3%,75.6%,26.3%,4.4%,273,11,13.8%,851,348,8.7%,535,307,289,1062,21.4%,-8,0,0
SFG,3.88,6173,23283,3.77,14914,64.4%,26.6%,14.6%,28.0%,30.7%,73.4%,1.6%,47.3%,80.1%,29.3%,4.5%,278,15,13.8%,849,313,7.8%,484,258,265,809,24.6%,-5,0,0
STL,4.83,6211,23345,3.76,14774,63.7%,27.7%,14.4%,27.1%,30.8%,72.3%,1.6%,46.0%,80.1%,28.0%,4.5%,279,13,13.0%,810,337,7.6%,472,260,281,816,25.3%,-9,0,0
