Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
KCR,4.23,6115,23159,3.79,14753,63.9%,26.9%,14.4%,28.1%,30.6%,73.1%,0.8%,46.7%,80.3%,27.2%,4.9%,300,15,14.3%,872,360,8.2%,500,269,261,829,23.9%,-12,0,0
LAA,5.45,6331,24541,3.88,15260,62.5%,30.1%,13.7%,25.6%,30.6%,69.9%,1.2%,43.7%,80.4%,21.6%,5.0%,318,30,15.0%,951,347,10.1%,639,340,235,819,22.3%,-26,0,0
LAD,4.81,6403,24835,3.88,15299,62.3%,30.7%,12.5%,26.4%,30.4%,69.3%,2.8%,43.1%,82.0%,22.7%,5.8%,373,28,16.0%,1026,356,9.5%,610,313,309,753,28.9%,-18,0,0
MIL,4.85,6306,24238,3.84,14951,62.1%,30.1%,15.3%,25.3%,29.3%,69.9%,1.7%,43.4%,78.1%,25.8%,5.8%,363,12,15.5%,976,313,9.9%,625,300,311,916,25.3%,-10,0,0
MIN,5.01,6361,24571,3.86,15355,62.9%,28.1%,13.5%,27.8%,30.6%,71.9%,1.8%,45.2%,81.2%,25.9%,5.5%,347,20,14.8%,941,323,9.7%,619,310,252,764,24.7%,-15,0,0
NYM,4.14,6178,23648,3.83,14767,62.9%,30.7%,11.2%,26.5%,31.6%,69.3%,1.9%,43.6%,83.9%,22.8%,5.4%,336,9,14.7%,910,298,8.9%,552,279,253,673,27.3%,-19,0,0
NYY,5.65,6458,25069,3.88,15189,60.9%,29.8%,12.1%,27.0%,31.1%,70.2%,1.2%,42.7%,82.7%,24.2%,5.9%,382,22,16.0%,1031,371,11.0%,709,386,309,703,30.5%,-9,0,0
OAK,4.69,6260,23895,3.82,15007,62.9%,27.1%,14.2%,27.9%,30.8%,72.9%,0.6%,45.9%,80.6%,26.3%,4.7%,295,9,14.0%,878,360,8.9%,557,300,280,765,26.8%,-13,0,0
PHI,5.06,6350,24526,3.86,15124,62.1%,30.8%,14.4%,24.9%,29.9%,69.2%,1.8%,43.0%,79.2%,21.1%,5.8%,370,39,16.7%,1059,406,10.2%,650,360,271,877,23.5%,-12,0,0
PIT,3.95,6068,23255,3.83,14801,64.1%,28.8%,14.8%,27.0%,29.5%,71.2%,1.8%,45.6%,79.3%,23.8%,4.8%,294,9,14.3%,867,329,8.4%,509,240,283,854,24.8%,-10,0,0
SDP,3.94,6194,23841,3.85,14850,62.8%,27.7%,15.4%,27.6%,29.3%,72.3%,2.0%,45.4%,78.7%,27.3%,6.0%,370,9,15.1%,936,347,9.0%,555,306,270,904,22.8%,-15,0,0
SEA,3.95,6122,23133,3.78,14765,64.2%,26.4%,15.7%,27.2%,30.8%,73.6%,1.7%,47.3%,78.7%,24.2%,4.6%,279,19,14.2%,872,388,7.7%,471,296,227,864,20.8%,-9,0,0
SFG,4.06,6068,21929,3.61,14212,65.2%,22.7%,17.2%,28.7%,31.4%,77.3%,1.9%,50.4%,77.7%,32.9%,3.9%,234,11,12.6%,765,359,6.8%,412,253,253,904,21.8%,-11,0,0
STL,4.51,6182,22640,3.66,14231,63.6%,24.4%,16.0%,27.7%,31.9%,75.6%,3.2%,48.1%,78.8%,31.7%,5.6%,345,34,15.3%,947,394,7.8%,480,251,224,808,21.5%,-14,0,0
TBR,4.96,6245,24665,3.95,14988,61.0%,28.0%,15.6%,27.7%,28.7%,72.0%,1.2%,44.0%,78.4%,28.2%,5.7%,358,19,16.6%,1036,406,10.2%,635,327,336,892,27.3%,-22,0,0
TEX,4.84,6142,23476,3.82,14806,63.3%,25.2%,17.8%,27.5%,29.5%,74.8%,1.0%,47.4%,76.2%,31.1%,4.4%,273,21,13.3%,815,375,8.7%,536,307,279,972,22.3%,-15,0,0
TOR,4.93,6374,23920,3.75,14889,62.4%,28.6%,12.8%,26.8%,31.8%,71.4%,0.8%,44.6%,82.1%,26.5%,5.1%,324,20,14.8%,946,400,9.3%,594,340,288,738,28.0%,-12,0,0
WSN,4.38,6286,24272,3.86,15120,62.6%,29.8%,14.7%,26.4%,29.0%,70.2%,1.3%,43.9%,79.1%,26.0%,4.7%,297,13,13.6%,858,314,8.9%,559,265,355,844,29.4%,-13,0,0
LgAvg,4.61,6250,23901,3.82,14919,62.8%,28.0%,14.7%,27.1%,30.2%,72.0%,1.5%,45.2%,79.6%,26.4%,5.2%,323,17,14.9%,929,357,9.1%,569,305,282,835,25.2%,-13,0,0
Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
,4.61,187509,717042,3.82,447568,62.8%,28.0%,14.7%,27.1%,30.2%,72.0%,1.5%,45.2%,79.6%,26.4%,5.2%,9688,507,14.9%,27874,10702,9.1%,17060,9160,8451,25039,25.2%,-430,0,0
