Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.44,6285,24031,3.82,14999,62.9%,27.8%,16.7%,26.3%,29.1%,72.2%,1.9%,45.4%,76.8%,26.5%,4.9%,307,23,14.9%,936,370,8.8%,551,292,333,961,25.7%,-16,0,0
ATL,4.54,6349,23433,3.69,14588,62.8%,27.4%,14.6%,26.4%,31.6%,72.6%,2.1%,45.6%,79.9%,27.7%,5.4%,342,7,15.2%,965,371,9.4%,596,290,253,806,23.8%,-14,0,0
BAL,4.57,6241,23702,3.80,14869,63.0%,27.5%,13.7%,27.4%,31.4%,72.5%,1.0%,45.7%,81.1%,26.3%,4.9%,308,10,15.3%,957,369,9.3%,578,352,253,759,25.0%,-8,0,0
BOS,5.38,6361,25015,3.93,15234,61.2%,31.3%,13.1%,26.1%,29.5%,68.7%,1.4%,42.1%,80.9%,20.9%,5.8%,367,18,16.7%,1061,378,10.4%,661,342,309,810,27.6%,-17,0,0
CHC,4.39,6257,23867,3.81,14870,62.7%,25.9%,16.4%,28.1%,29.6%,74.1%,1.7%,46.5%,77.8%,32.5%,5.0%,312,21,14.1%,885,346,9.5%,593,317,301,880,25.4%,-13,0,0
CHW,4.47,6155,23296,3.78,14632,63.1%,27.5%,14.1%,27.5%,30.9%,72.5%,1.1%,45.7%,80.6%,26.1%,5.4%,330,6,14.8%,911,340,8.7%,537,298,228,794,22.3%,-23,0,0
CIN,4.15,6201,23664,3.82,14927,63.5%,25.8%,15.8%,28.5%,30.0%,74.2%,1.6%,47.1%,78.7%,31.4%,4.6%,287,8,13.2%,818,302,8.0%,494,256,290,837,25.7%,-14,0,0
CLE,4.77,6331,24847,3.92,15349,61.9%,29.5%,14.6%,26.9%,29.0%,70.5%,0.7%,43.7%,79.3%,24.0%,4.8%,301,13,14.5%,916,356,9.8%,620,352,325,886,26.8%,-11,0,0
COL,4.96,6263,24951,3.98,15480,62.4%,28.5%,16.0%,28.0%,27.5%,71.5%,1.5%,44.6%,77.6%,25.9%,5.7%,354,16,15.8%,989,331,10.4%,653,346,339,935,26.5%,-22,0,0
DET,4.56,6246,23448,3.75,14617,62.6%,25.8%,14.9%,28.3%,30.9%,74.2%,1.3%,46.5%,79.9%,28.3%,4.8%,299,18,14.7%,919,413,8.2%,513,282,275,839,24.7%,-12,0,0
FLA,4.77,6327,24536,3.88,15259,62.6%,28.9%,15.4%,26.5%,29.2%,71.1%,1.7%,44.5%,78.3%,25.4%,5.3%,334,13,15.6%,986,359,9.0%,568,321,317,898,25.9%,-15,0,0
HOU,3.97,6050,22639,3.74,14377,63.9%,26.7%,14.3%,27.3%,31.7%,73.3%,1.6%,46.8%,80.5%,27.6%,4.8%,289,15,14.0%,845,321,8.0%,484,270,232,755,23.4%,-10,0,0
