Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.44,6166,24000,3.89,14750,61.9%,28.6%,16.7%,26.0%,28.7%,71.4%,1.8%,44.2%,76.6%,25.4%,5.3%,325,25,15.8%,975,410,9.4%,582,343,357,923,27.7%,-10,0,0
ATL,4.65,6378,23646,3.71,14577,62.2%,26.2%,14.0%,27.6%,32.1%,73.8%,2.2%,45.9%,81.0%,31.1%,5.6%,358,19,15.3%,977,370,9.2%,586,293,273,742,26.7%,-10,0,0
BAL,4.86,6221,23555,3.79,14786,63.1%,27.2%,13.1%,28.3%,31.4%,72.8%,1.6%,45.9%,82.0%,28.0%,5.4%,339,29,15.5%,966,385,8.8%,549,329,268,720,27.1%,-10,0,0
BOS,5.22,6413,24782,3.86,15157,61.6%,30.0%,12.7%,26.9%,30.5%,70.0%,1.9%,43.2%,81.9%,23.0%,5.4%,346,10,15.3%,983,368,9.5%,611,333,310,757,29.0%,-11,0,0
CHC,5.31,6393,24776,3.88,15401,62.6%,27.6%,15.8%,27.3%,29.3%,72.4%,1.7%,45.3%,78.1%,29.3%,5.2%,334,13,14.2%,906,320,9.6%,613,311,295,883,24.9%,-9,0,0
CHW,4.98,6245,23517,3.77,14747,63.0%,25.1%,15.3%,28.3%,31.3%,74.9%,1.3%,47.2%,79.6%,29.7%,4.9%,309,12,14.6%,911,355,9.0%,561,324,204,812,20.1%,-14,0,0
CIN,4.35,6200,23258,3.75,14549,63.0%,25.3%,16.8%,27.3%,30.6%,74.7%,1.9%,47.1%,77.6%,31.4%,5.3%,326,14,14.6%,907,349,9.1%,567,315,275,849,24.4%,-12,0,0
CLE,4.97,6307,24900,3.95,15404,62.2%,28.9%,15.0%,27.4%,28.7%,71.1%,1.6%,44.3%,78.9%,23.3%,5.2%,326,23,15.8%,998,397,9.0%,570,320,290,923,23.9%,-8,0,0
COL,4.61,6324,24360,3.85,15240,62.9%,26.6%,15.8%,28.2%,29.4%,73.4%,1.4%,46.1%,78.4%,29.2%,4.2%,263,28,13.0%,819,344,8.4%,530,293,362,840,29.9%,-12,0,0
DET,5.07,6345,24387,3.84,15283,62.9%,26.3%,14.9%,28.5%,30.4%,73.7%,0.9%,46.3%,79.8%,27.7%,5.0%,315,4,14.4%,916,355,9.3%,590,328,263,813,24.4%,-14,0,0
FLA,4.78,6218,24557,3.95,15289,62.7%,28.0%,16.8%,27.6%,27.6%,72.0%,1.9%,45.2%,76.7%,25.4%,5.8%,360,31,15.6%,972,359,9.6%,599,341,352,1008,25.7%,-12,0,0
HOU,4.42,6068,22842,3.76,14612,64.4%,24.9%,15.7%,28.5%,30.8%,75.1%,1.8%,48.3%,79.0%,29.8%,4.7%,287,30,14.2%,864,346,8.6%,523,305,229,815,21.8%,-17,0,0
KCR,4.27,6129,22434,3.66,14483,64.9%,25.4%,14.4%,28.0%,32.3%,74.6%,1.5%,48.4%,80.7%,31.7%,4.0%,247,21,12.4%,758,315,7.1%,435,235,264,739,26.3%,-11,0,0
LAA,4.72,6172,22474,3.64,14166,63.6%,26.0%,14.4%,26.9%,32.7%,74.0%,2.2%,47.0%,80.5%,28.1%,5.2%,318,43,14.3%,885,370,8.3%,511,279,237,750,24.0%,-17,0,0
LAD,4.32,6212,23660,3.81,14897,63.5%,28.1%,13.8%,27.3%,30.7%,71.9%,2.5%,45.7%,80.8%,27.0%,5.0%,309,26,15.1%,939,326,8.7%,543,261,263,765,25.5%,-18,0,0
MIL,4.63,6261,24149,3.86,15234,63.5%,28.5%,15.4%,26.9%,29.1%,71.5%,1.6%,45.3%,78.4%,26.4%,5.5%,344,30,15.0%,942,326,8.8%,553,287,301,898,25.0%,-9,0,0
MIN,5.09,6340,23811,3.76,15029,63.6%,27.7%,13.0%,27.5%,31.9%,72.3%,2.0%,46.0%,82.1%,28.3%,5.2%,332,22,14.9%,946,332,9.2%,581,296,253,720,25.8%,-9,0,0
NYM,4.93,6404,24560,3.84,15199,62.5%,29.0%,13.4%,26.7%,31.0%,71.0%,2.6%,44.4%,81.2%,25.3%,6.0%,384,7,16.3%,1042,330,9.9%,633,313,247,773,24.1%,-16,0,0
NYY,4.87,6271,24135,3.85,15046,62.7%,28.5%,13.3%,27.4%,30.8%,71.5%,1.4%,44.8%,81.4%,26.3%,4.8%,304,7,14.5%,907,364,9.3%,583,302,256,759,25.2%,-14,0,0
OAK,4.01,6146,23848,3.88,14748,62.0%,28.9%,15.7%,26.3%,29.1%,71.1%,0.8%,44.1%,77.9%,25.8%,4.7%,291,6,15.1%,925,411,9.3%,572,318,345,878,28.1%,-8,0,0
PHI,4.93,6284,24121,3.84,14940,62.5%,28.8%,14.1%,27.0%,30.1%,71.2%,2.6%,44.6%,80.2%,24.3%,5.7%,358,38,15.3%,964,374,9.3%,583,320,274,833,24.5%,-11,0,0
PIT,4.54,6287,23947,3.81,15121,63.5%,29.7%,12.4%,26.8%,31.1%,70.3%,1.6%,44.6%,82.4%,23.5%,5.0%,312,8,13.9%,871,344,8.3%,519,295,285,747,27.4%,-9,0,0
SDP,3.93,6252,23787,3.80,14900,62.9%,25.8%,16.8%,27.7%,29.6%,74.2%,1.3%,46.7%,77.3%,29.2%,4.5%,280,10,14.5%,904,402,9.1%,571,330,295,963,23.4%,-8,0,0
SEA,4.14,6188,22767,3.68,14430,63.8%,26.0%,12.7%,27.8%,33.5%,74.0%,1.8%,47.2%,82.8%,24.0%,4.4%,273,14,15.1%,932,456,8.0%,498,321,197,692,22.1%,-12,0,0
SFG,3.95,6156,22523,3.66,14398,64.4%,25.6%,14.9%,27.5%,32.0%,74.4%,1.9%,47.9%,80.0%,29.4%,4.7%,292,10,13.8%,847,349,7.4%,455,269,263,775,25.2%,-11,0,0
