Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ANA,5.16,6316,23060,3.65,14585,63.7%,24.9%,14.3%,27.7%,33.1%,75.1%,1.9%,47.8%,81.0%,30.3%,5.4%,343,42,14.9%,942,366,8.1%,511,271,200,742,21.2%,-20,0,0
ARI,3.80,6123,22505,3.68,14453,64.6%,28.3%,13.6%,26.2%,31.9%,71.7%,1.7%,46.3%,81.0%,23.8%,4.8%,296,11,14.0%,857,332,7.0%,430,235,269,751,26.3%,-9,0,0
ATL,4.96,6349,23652,3.73,14797,63.0%,24.5%,16.6%,28.2%,30.6%,75.5%,2.0%,47.6%,78.0%,32.4%,5.3%,337,19,14.3%,908,367,8.8%,557,280,278,875,24.0%,-10,0,0
BAL,5.20,6441,24437,3.79,15342,63.1%,27.8%,12.2%,28.0%,31.9%,72.2%,1.4%,45.6%,83.0%,23.5%,5.2%,334,27,15.3%,987,402,8.8%,566,315,250,698,26.3%,-10,0,0
BOS,5.86,6525,25623,3.93,15721,61.7%,28.4%,14.0%,28.4%,29.2%,71.6%,1.3%,44.2%,80.5%,25.9%,5.4%,350,35,15.7%,1023,390,9.8%,642,343,330,857,27.8%,-10,0,0
CHC,4.87,6287,22826,3.63,14392,63.5%,22.7%,16.8%,28.0%,32.5%,77.3%,2.0%,49.1%,78.3%,35.6%,5.0%,312,35,14.4%,908,391,8.1%,510,289,270,804,25.0%,-6,0,0
CHW,5.34,6217,23307,3.75,14747,63.5%,25.5%,14.4%,28.9%,31.2%,74.5%,1.0%,47.3%,80.6%,31.4%,4.6%,286,13,13.3%,828,319,8.2%,512,285,246,782,23.9%,-20,0,0
CIN,4.63,6286,24115,3.84,14888,62.1%,28.7%,16.2%,26.5%,28.6%,71.3%,1.4%,44.3%,77.3%,28.7%,5.0%,317,15,15.4%,967,348,9.1%,572,305,401,922,30.0%,-8,0,0
CLE,5.30,6478,24633,3.80,14993,61.2%,29.1%,12.6%,26.6%,31.7%,70.9%,1.5%,43.4%,82.2%,26.6%,5.9%,383,42,16.7%,1082,406,9.9%,643,346,278,729,27.6%,-26,0,0
COL,5.14,6346,23977,3.78,15000,63.0%,24.1%,17.8%,28.0%,30.2%,75.9%,1.8%,47.8%,76.6%,32.5%,5.0%,319,27,15.0%,955,376,8.4%,532,251,268,906,22.7%,-13,0,0
DET,5.10,6302,23533,3.73,14741,62.9%,25.2%,15.5%,28.2%,31.0%,74.8%,1.3%,47.1%,79.3%,31.0%,4.7%,299,24,13.6%,855,339,8.7%,548,304,289,851,25.3%,-17,0,0
FLA,4.43,6177,23061,3.73,14558,63.4%,29.5%,12.8%,25.8%,31.8%,70.5%,1.4%,44.7%,81.8%,24.6%,5.2%,319,12,14.5%,897,299,8.9%,550,274,256,710,26.4%,-17,0,0
HOU,4.96,6280,23139,3.68,14362,62.5%,25.8%,14.4%,27.6%,32.2%,74.2%,2.0%,46.4%,80.5%,32.3%,5.1%,320,46,14.4%,906,330,8.5%,533,278,270,719,27.0%,-11,0,0
KCR,4.44,6171,23477,3.80,14766,63.1%,28.3%,13.4%,27.4%,30.9%,71.7%,1.0%,45.3%,81.3%,24.9%,4.8%,295,31,15.2%,935,373,9.1%,559,333,291,766,27.5%,-18,0,0
LAD,4.70,6260,23781,3.80,15006,63.5%,27.5%,14.2%,28.0%,30.3%,72.5%,1.7%,46.1%,80.4%,26.8%,5.4%,339,17,15.3%,959,359,8.9%,555,304,271,810,24.8%,-16,0,0
MIL,3.94,6208,23924,3.85,14841,62.5%,28.9%,16.3%,26.0%,28.8%,71.1%,1.8%,44.4%,77.1%,27.1%,4.9%,307,15,15.3%,947,384,9.6%,593,327,363,944,27.7%,-13,0,0
MIN,4.81,6304,23402,3.71,14599,62.8%,26.5%,14.9%,26.2%,32.4%,73.5%,1.8%,46.2%,79.8%,27.1%,5.1%,322,20,14.4%,908,349,8.4%,531,308,240,739,24.4%,-18,0,0
MON,3.92,6157,23401,3.80,14710,63.3%,29.6%,12.6%,26.0%,31.8%,70.4%,2.0%,44.6%,82.1%,22.9%,5.1%,316,16,14.8%,912,312,8.5%,521,291,240,682,25.9%,-19,0,0
NYM,4.22,6217,23629,3.80,14917,63.6%,27.7%,14.8%,27.5%,30.0%,72.3%,2.1%,46.0%,79.5%,27.7%,4.8%,301,12,13.7%,850,302,8.5%,526,318,317,838,27.4%,-8,0,0
NYY,5.54,6375,24162,3.79,14497,60.3%,28.3%,13.3%,26.4%,32.0%,71.7%,1.4%,43.2%,81.4%,27.0%,6.1%,386,31,17.2%,1099,445,10.7%,680,355,287,694,29.2%,-11,0,0
OAK,4.90,6466,25153,3.89,15400,61.6%,30.0%,12.9%,26.3%,30.7%,70.0%,1.4%,43.1%,81.5%,24.5%,5.8%,378,5,16.0%,1036,360,10.6%,688,354,289,770,27.2%,-7,0,0
PHI,5.19,6467,24750,3.83,15263,62.2%,28.8%,13.9%,27.0%,30.3%,71.2%,2.0%,44.2%,80.5%,26.8%,5.4%,352,15,15.4%,997,363,9.8%,634,348,311,816,27.4%,-11,0,0
PIT,4.22,6129,22535,3.68,14482,64.6%,27.0%,15.2%,26.5%,31.3%,73.0%,1.4%,47.2%,79.2%,30.3%,4.1%,249,9,12.6%,771,284,7.2%,440,250,276,786,25.9%,-14,0,0
SDP,4.74,6321,23468,3.71,14477,62.1%,27.1%,12.6%,27.2%,33.0%,72.9%,1.8%,45.3%,82.7%,28.3%,6.1%,387,28,16.0%,1011,366,9.6%,604,332,238,664,26.2%,-8,0,0
SEA,4.31,6376,24039,3.77,15096,63.3%,27.2%,13.8%,27.5%,31.5%,72.8%,2.0%,46.1%,81.1%,26.6%,4.7%,300,26,14.5%,927,388,8.5%,541,327,288,768,27.2%,-14,0,0
SFG,5.25,6470,23274,3.60,14052,61.8%,26.0%,13.2%,26.6%,34.3%,74.0%,6.0%,45.8%,82.2%,28.8%,7.2%,467,20,16.6%,1071,378,9.0%,580,315,253,617,28.9%,-4,0,0
STL,5.28,6314,23803,3.77,14913,63.2%,25.8%,15.5%,27.8%,30.9%,74.2%,2.4%,46.9%,79.1%,31.5%,5.2%,329,27,14.3%,902,348,8.5%,538,293,267,813,24.6%,-17,0,0
